Pos	Recs	PctRecs	Min_Q	Low_Q	Med_Q	Mean_Q	Hi_Q	Max_Q	Min_Pe	Low_Pe	Med_Pe	Mean_Pe	Hi_Pe	Max_Pe	Min_EE	Low_EE	Med_EE	Mean_EE	Hi_EE	Max_EE
1	542766	100.0	0.0	25.0	32.0	29.8	34.0	40.0	0.0001	0.0004	0.00063	0.0034	0.0032	1	0.00	0.00	0.00	0.00	0.00	1.00
2	542766	100.0	0.0	25.0	32.0	29.9	34.0	40.0	0.0001	0.0004	0.00063	0.0034	0.0032	1	0.00	0.00	0.00	0.01	0.01	1.02
3	542766	100.0	0.0	40.0	40.0	38.1	40.0	40.0	0.0001	0.0001	0.0001	0.0011	0.0001	1	0.00	0.00	0.00	0.01	0.01	1.10
4	542766	100.0	0.0	40.0	40.0	38.6	40.0	40.0	0.0001	0.0001	0.0001	0.00039	0.0001	1	0.00	0.00	0.00	0.01	0.01	1.14
5	542766	100.0	11.0	40.0	40.0	38.8	40.0	40.0	0.0001	0.0001	0.0001	0.00039	0.0001	0.079	0.00	0.00	0.00	0.01	0.01	1.15
6	542766	100.0	11.0	40.0	40.0	38.8	40.0	40.0	0.0001	0.0001	0.0001	0.00037	0.0001	0.079	0.00	0.00	0.00	0.01	0.01	1.16
7	542766	100.0	0.0	40.0	40.0	38.7	40.0	40.0	0.0001	0.0001	0.0001	0.0004	0.0001	1	0.00	0.00	0.00	0.01	0.01	1.17
8	542766	100.0	0.0	40.0	40.0	38.6	40.0	40.0	0.0001	0.0001	0.0001	0.00045	0.0001	1	0.00	0.00	0.00	0.01	0.01	1.19
9	542766	100.0	0.0	40.0	40.0	38.6	40.0	40.0	0.0001	0.0001	0.0001	0.0005	0.0001	1	0.00	0.00	0.00	0.01	0.01	1.21
10	542766	100.0	0.0	40.0	40.0	38.7	40.0	40.0	0.0001	0.0001	0.0001	0.00053	0.0001	1	0.00	0.00	0.00	0.01	0.01	1.23
11	542766	100.0	0.0	40.0	40.0	38.9	40.0	40.0	0.0001	0.0001	0.0001	0.00039	0.0001	1	0.00	0.00	0.00	0.01	0.01	1.38
12	542766	100.0	0.0	40.0	40.0	39.0	40.0	40.0	0.0001	0.0001	0.0001	0.00039	0.0001	1	0.00	0.00	0.00	0.01	0.01	2.01
13	542766	100.0	0.0	40.0	40.0	38.8	40.0	40.0	0.0001	0.0001	0.0001	0.00056	0.0001	1	0.00	0.00	0.00	0.01	0.01	3.01
14	542766	100.0	0.0	40.0	40.0	38.8	40.0	40.0	0.0001	0.0001	0.0001	0.00066	0.0001	1	0.00	0.00	0.00	0.01	0.01	4.01
15	542766	100.0	0.0	39.0	39.0	37.8	39.0	40.0	0.0001	0.00013	0.00013	0.00091	0.00013	1	0.00	0.00	0.00	0.01	0.01	5.01
16	542766	100.0	0.0	39.0	39.0	37.8	39.0	40.0	0.0001	0.00013	0.00013	0.00097	0.00013	1	0.00	0.00	0.00	0.01	0.01	5.05
17	542766	100.0	0.0	39.0	39.0	37.8	39.0	40.0	0.0001	0.00013	0.00013	0.001	0.00013	1	0.00	0.00	0.00	0.02	0.01	5.05
18	542766	100.0	0.0	40.0	40.0	38.7	40.0	40.0	0.0001	0.0001	0.0001	0.00081	0.0001	1	0.00	0.00	0.00	0.02	0.01	5.07
19	542766	100.0	0.0	40.0	40.0	38.7	40.0	40.0	0.0001	0.0001	0.0001	0.00078	0.0001	1	0.00	0.00	0.00	0.02	0.01	5.11
20	542766	100.0	0.0	40.0	40.0	38.8	40.0	40.0	0.0001	0.0001	0.0001	0.00071	0.0001	1	0.00	0.00	0.00	0.02	0.01	5.15
21	542766	100.0	0.0	40.0	40.0	38.8	40.0	40.0	0.0001	0.0001	0.0001	0.00074	0.0001	1	0.00	0.00	0.00	0.02	0.02	5.22
22	542766	100.0	0.0	40.0	40.0	39.0	40.0	40.0	0.0001	0.0001	0.0001	0.00058	0.0001	1	0.00	0.00	0.00	0.02	0.02	5.28
23	542766	100.0	0.0	37.0	40.0	38.3	40.0	40.0	0.0001	0.0001	0.0001	0.00052	0.0002	1	0.00	0.00	0.00	0.02	0.02	5.34
24	542766	100.0	0.0	37.0	40.0	38.3	40.0	40.0	0.0001	0.0001	0.0001	0.00053	0.0002	1	0.00	0.00	0.00	0.02	0.02	5.41
25	542766	100.0	0.0	37.0	40.0	38.4	40.0	40.0	0.0001	0.0001	0.0001	0.00095	0.0002	1	0.00	0.00	0.00	0.02	0.02	5.45
26	542766	100.0	0.0	37.0	40.0	38.4	40.0	40.0	0.0001	0.0001	0.0001	0.00063	0.0002	1	0.00	0.00	0.00	0.02	0.02	5.49
27	542766	100.0	0.0	37.0	40.0	38.2	40.0	40.0	0.0001	0.0001	0.0001	0.0014	0.0002	1	0.00	0.00	0.00	0.02	0.02	5.57
28	542766	100.0	0.0	37.0	40.0	38.2	40.0	40.0	0.0001	0.0001	0.0001	0.0007	0.0002	1	0.00	0.00	0.00	0.02	0.02	5.65
29	542766	100.0	0.0	37.0	40.0	38.2	40.0	40.0	0.0001	0.0001	0.0001	0.0008	0.0002	1	0.00	0.00	0.00	0.02	0.02	5.72
30	542766	100.0	0.0	37.0	40.0	38.2	40.0	40.0	0.0001	0.0001	0.0001	0.00091	0.0002	1	0.00	0.00	0.00	0.03	0.02	5.76
31	542766	100.0	0.0	37.0	40.0	38.4	40.0	40.0	0.0001	0.0001	0.0001	0.00068	0.0002	1	0.00	0.00	0.00	0.03	0.02	5.84
32	542766	100.0	0.0	37.0	40.0	38.5	40.0	40.0	0.0001	0.0001	0.0001	0.00051	0.0002	1	0.00	0.00	0.00	0.03	0.02	5.88
33	542766	100.0	0.0	37.0	40.0	38.4	40.0	40.0	0.0001	0.0001	0.0001	0.00082	0.0002	1	0.00	0.00	0.00	0.03	0.02	5.92
