#OTU ID	GF1cN	GF1cM	GF1sN	GF1sM	GF2cN	GF2cM	GF2sN	GF2sM	GF3cN	GF3cM	GF3sN	SG2cM	LG1cN	LG1cM	LG1sN	LG1sM	LG2cN	LG2cM	LG2sN	LG2sM	LG3cN	LG3cM	LG3sN	LG3sM	SG1cN	SG1cM	SG1sN	SG1sM	SG2cN	GF3sM	SG2sN	SG2sM	SG3cN	SG3cM	SG3sN	SG3sM	T1cN	T1cM	T1sN	T1sM	T2cN	T2cM	T2sN	T2sM	T3cN	T3cM	T3sN	T3sM
OTU_130	72	0	9	0	153	204	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_207	1	0	7	0	44	66	0	0	0	2	0	5	6	0	0	0	0	0	0	0	0	0	0	8	5	0	0	0	0	0	0	0	0	1	3	0	2	6	1	1	0	3	0	0	11	0	0	1
OTU_784	1	0	2	0	10	15	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_26	26	358	13	676	0	41	36	2	43	0	0	0	82	52	0	0	0	3	0	0	0	0	14	0	4	4	0	0	0	24	0	549	0	3	11	0	0	1	8	0	0	0	0	21	0	15	4	33
OTU_4	305	266	26	17	798	4876	506	155	1367	358	448	105	203	402	153	0	0	47	1	0	310	275	13	173	103	18	0	0	1364	49	0	0	581	1633	17	0	6681	7243	339	616	1556	602	176	507	640	1197	94	1331
OTU_51	213	164	17	0	0	409	0	52	54	225	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_11	133	182	99	0	1469	1810	264	41	1770	537	0	15	5	104	0	0	0	19	0	0	74	0	0	55	2	2	0	0	0	25	0	0	0	5	0	140	150	45	31	0	0	47	5	52	73	103	41	15
OTU_10	43	17	68	101	155	700	103	61	0	0	24	9	128	145	122	133	0	116	3	3	138	120	1016	1244	287	2	1322	253	108	201	0	465	0	11	79	740	9	22	358	0	4	59	7	265	136	221	81	40
OTU_1	458	380	43	0	348	18169	935	81	125	104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	4	0	21	0	0	0	0	0	0	0	0	0	0	0
OTU_13	59	54	124	64	19	395	115	15	125	17	40	3	42	0	16	22	0	10	0	0	0	74	27	16	58	4	0	0	54	64	0	0	1	5	3	0	833	1358	232	105	332	543	122	885	740	295	290	561
