usearch v8.1.1861_i86linux32, 4.0Gb RAM (15.3Gb total), 4 cores
usearch -fastq_stats fastq/kf_stripped.fq -log stats.log 
Started Tue Jul  4 16:33:14 2017
00:07  46Mb  100.0% Reading fastq/kf_stripped.fq

Read length distribution
      L           N      Pct   AccPct
-------  ----------  -------  -------
>=  857          72     0.0%     1.0%
    856          65     0.0%     1.0%
    855          58     0.0%     1.0%
    854          70     0.0%     1.0%
    853          79     0.0%     1.1%
    852          84     0.0%     1.1%
    851          68     0.0%     1.1%
    850          86     0.0%     1.1%
    849          78     0.0%     1.1%
    848          75     0.0%     1.1%
    847          75     0.0%     1.1%
    846          87     0.0%     1.2%
    845          90     0.0%     1.2%
    844          73     0.0%     1.2%
    843          83     0.0%     1.2%
    842          97     0.0%     1.2%
    841          81     0.0%     1.2%
    840          86     0.0%     1.2%
    839          86     0.0%     1.3%
    838          93     0.0%     1.3%
    837          96     0.0%     1.3%
    836          96     0.0%     1.3%
    835          94     0.0%     1.3%
    834          97     0.0%     1.4%
    833          90     0.0%     1.4%
    832          96     0.0%     1.4%
    831          98     0.0%     1.4%
    830         103     0.0%     1.4%
    829          93     0.0%     1.4%
    828         107     0.0%     1.5%
    827         106     0.0%     1.5%
    826          98     0.0%     1.5%
    825         104     0.0%     1.5%
    824          93     0.0%     1.5%
    823         100     0.0%     1.6%
    822          95     0.0%     1.6%
    821         103     0.0%     1.6%
    820         103     0.0%     1.6%
    819          94     0.0%     1.6%
    818          99     0.0%     1.6%
    817          95     0.0%     1.7%
    816         115     0.0%     1.7%
    815         133     0.0%     1.7%
    814         105     0.0%     1.7%
    813          97     0.0%     1.7%
    812         116     0.0%     1.8%
    811         117     0.0%     1.8%
    810         120     0.0%     1.8%
    809         105     0.0%     1.8%
    808         121     0.0%     1.9%
    807         148     0.0%     1.9%
    806         111     0.0%     1.9%
    805         138     0.0%     1.9%
    804         114     0.0%     1.9%
    803         131     0.0%     2.0%
    802         134     0.0%     2.0%
    801         133     0.0%     2.0%
    800         107     0.0%     2.0%
    799         110     0.0%     2.1%
    798         131     0.0%     2.1%
    797         133     0.0%     2.1%
    796         137     0.0%     2.1%
    795         130     0.0%     2.2%
    794         132     0.0%     2.2%
    793         118     0.0%     2.2%
    792         129     0.0%     2.2%
    791         153     0.0%     2.3%
    790         154     0.0%     2.3%
    789         134     0.0%     2.3%
    788         146     0.0%     2.3%
    787         156     0.0%     2.4%
    786         158     0.0%     2.4%
    785         157     0.0%     2.4%
    784         136     0.0%     2.4%
    783         157     0.0%     2.5%
    782         168     0.0%     2.5%
    781         151     0.0%     2.5%
    780         157     0.0%     2.6%
    779         157     0.0%     2.6%
    778         158     0.0%     2.6%
    777         185     0.0%     2.7%
    776         188     0.0%     2.7%
    775         174     0.0%     2.7%
    774         176     0.0%     2.8%
    773         161     0.0%     2.8%
    772         169     0.0%     2.8%
    771         178     0.0%     2.8%
    770         175     0.0%     2.9%
    769         184     0.0%     2.9%
    768         180     0.0%     2.9%
    767         171     0.0%     3.0%
